"ASSESSID","COMMON","Scientific_name","MGMT","AREA","LME_NAME","LME_NUMBER","NUM_LMEs","BRP_BMSY","BRP_SSBMSY","metric_TOTAL","metric_SSB","firstYR_TOTAL","firstYR_SSB","mean_ut","median_ut","q90_ut","mean_umsy","median_umsy","q90umsy"
"NZMFishMIDDEPTHSWG-SBWHITACIR-1979-2006-JENSEN","Southern blue whiting","Micromesistius australis","MFish","New Zealand - Campbell Island Rise","New Zealand Shelf",46,1,NA,52105.0464,"MT","MT",1979,1979,0.266057160099259,0.236284950793253,0.449895318294373,NA,NA,NA
"NZMFishMIDDEPTHSWG-SOUTHHAKECR-1975-2006-JENSEN","Southern hake","Merluccius australis","MFish","Chatham Rise","New Zealand Shelf",46,1,NA,7786.9455,"MT","MT",1975,1975,0.0428292200314457,0.0219202344027355,0.0931481257589797,NA,NA,NA
"NZMFishMIDDEPTHSWG-SOUTHHAKESA-1975-2007-JENSEN","Southern hake","Merluccius australis","MFish","Sub-Antarctic","New Zealand Shelf",46,1,NA,14153.0846,"MT","MT",1975,1975,0.0208213731770841,0.0179434221470426,0.0408633961741346,NA,NA,NA
"NZMFishSHELLFISHWG-PAUAPAU5A-1964-2006-JENSEN","Paua","Haliotis spp","MFish",NA,"New Zealand Shelf",46,1,NA,NA,"no value","no value",1964,1964,0.106135656200692,0.0898384622415401,0.211933884809339,NA,NA,NA
"NZMFishSHELLFISHWG-PAUAPAU5B-1963-2007-JENSEN","Paua","Haliotis spp","MFish",NA,"New Zealand Shelf",46,1,NA,NA,"no value","no value",1963,1963,0.0902041088482208,0.0834390657541512,0.165907034671058,NA,NA,NA
"NZMFishSHELLFISHWG-PAUAPAU5D-1964-2006-JENSEN","Paua","Haliotis spp","MFish",NA,"New Zealand Shelf",46,1,NA,NA,"no value","no value",1964,1964,0.145742506370807,0.149898609931605,0.279694801557548,NA,NA,NA
"NZMFishSHELLFISHWG-PAUAPAU7-1964-2008-JENSEN","Paua","Haliotis spp","MFish",NA,"New Zealand Shelf",46,1,NA,NA,"no value","no value",1964,1964,0.123442348559623,0.13908383927056,0.207205874893834,NA,NA,NA
"PFMC-LINGCODNPCOAST-1956-2005-STANTON","Lingcod","Ophiodon elongatus","NMFS","Northern Pacific Coast","California Current",3,1,NA,NA,"no value","MT",NA,1956,NA,NA,NA,NA,NA,NA
"PFMC-LINGCODSPCOAST-1956-2005-STANTON","Lingcod","Ophiodon elongatus","NMFS","Southern Pacific Coast","California Current",3,1,NA,NA,"no value","MT",NA,1956,NA,NA,NA,NA,NA,NA
"RIDEM-LOBSTERRI-1959-2007-COLLIE","American lobster","Homarus americanus","US State","Rhode Island","Northeast U.S. Continental Shelf",7,1,5662,NA,"MT","no value",1959,NA,0.454400021495745,0.429437792027805,0.679072047841024,NA,NA,NA
"RIDEM-TAUTOGRI-1959-2007-COLLIE","Tautog","Tautoga onitis","US State","Rhode Island","Northeast U.S. Continental Shelf",7,NA,1562,NA,"MT","no value",1959,NA,0.19388960048616,0.177707570437385,0.408751939653374,NA,NA,NA
"RIDEM-WINFLOUNDRI-1959-2007-COLLIE","Winter flounder","Pseudopleuronectes americanus","US State","Rhode Island","Northeast U.S. Continental Shelf",7,NA,5478,NA,"MT","no value",1959,NA,0.337423671150096,0.318861744890966,0.461098727292059,NA,NA,NA
